N,WIDTH,HEIGHT,FAMILY,FPGA_PART,Frequency,Latency,DSP,LUT,FF,BRAM
1,280,280,virtex7,xc7vx485tffg1157-1,141,1.694,0,0,0,0
1,320,320,virtex7,xc7vx485tffg1157-1,141,2.192,0,0,0,0
10,320,320,virtex7,xc7vx485tffg1157-1,137,1.226,2,3,0,1
1,512,512,virtex7,xc7vx485tffg1157-1,138,5.545,0,0,0,1
10,512,512,virtex7,xc7vx485tffg1157-1,138,3.067,2,3,0,1
1,1024,1024,virtex7,xc7vx485tffg1157-1,138,21.914,0,0,0,1
10,1024,1024,virtex7,xc7vx485tffg1157-1,138,11.991,2,3,0,1
20,1024,1024,virtex7,xc7vx485tffg1157-1,137,11.991,2,7,0,1
30,1024,1024,virtex7,xc7vx485tffg1157-1,137,11.643,2,9,0,2
1,280,280,virtex7,xc7vx485tffg1157-2,147,1.691,0,0,0,0
1,320,320,virtex7,xc7vx485tffg1157-2,147,2.189,0,0,0,0
10,320,320,virtex7,xc7vx485tffg1157-2,143,1.222,2,3,0,1
1,512,512,virtex7,xc7vx485tffg1157-2,142,5.54,0,0,0,1
10,512,512,virtex7,xc7vx485tffg1157-2,143,3.062,2,3,0,1
1,1024,1024,virtex7,xc7vx485tffg1157-2,143,21.903,0,0,0,1
10,1024,1024,virtex7,xc7vx485tffg1157-2,143,11.981,2,3,0,1
20,1024,1024,virtex7,xc7vx485tffg1157-2,143,11.981,2,7,0,1
30,1024,1024,virtex7,xc7vx485tffg1157-2,143,11.633,2,10,0,2
1,280,280,virtex7,xc7vx485tffg1157-2L,147,1.691,0,0,0,0
1,320,320,virtex7,xc7vx485tffg1157-2L,147,2.189,0,0,0,0
10,320,320,virtex7,xc7vx485tffg1157-2L,143,1.222,2,3,0,1
1,512,512,virtex7,xc7vx485tffg1157-2L,142,5.54,0,0,0,1
10,512,512,virtex7,xc7vx485tffg1157-2L,143,3.062,2,3,0,1
1,1024,1024,virtex7,xc7vx485tffg1157-2L,143,21.903,0,0,0,1
10,1024,1024,virtex7,xc7vx485tffg1157-2L,143,11.981,2,3,0,1
20,1024,1024,virtex7,xc7vx485tffg1157-2L,143,11.981,2,7,0,1
30,1024,1024,virtex7,xc7vx485tffg1157-2L,143,11.633,2,10,0,2
1,280,280,virtex7,xc7vx485tffg1157-3,157,1.691,0,0,1,0
1,320,320,virtex7,xc7vx485tffg1157-3,157,2.189,0,0,1,0
10,320,320,virtex7,xc7vx485tffg1157-3,137,1.222,2,3,2,1
1,512,512,virtex7,xc7vx485tffg1157-3,138,5.535,0,0,1,1
10,512,512,virtex7,xc7vx485tffg1157-3,137,3.062,2,3,2,1
1,1024,1024,virtex7,xc7vx485tffg1157-3,138,21.893,0,0,1,1
10,1024,1024,virtex7,xc7vx485tffg1157-3,137,11.981,2,3,2,1
20,1024,1024,virtex7,xc7vx485tffg1157-3,137,11.981,2,7,2,1
30,1024,1024,virtex7,xc7vx485tffg1157-3,137,11.633,2,9,2,2
1,280,280,virtex7,xc7vx485tffg1158-1,141,1.694,0,0,0,0
1,320,320,virtex7,xc7vx485tffg1158-1,141,2.192,0,0,0,0
10,320,320,virtex7,xc7vx485tffg1158-1,137,1.226,2,3,0,1
1,512,512,virtex7,xc7vx485tffg1158-1,138,5.545,0,0,0,1
10,512,512,virtex7,xc7vx485tffg1158-1,138,3.067,2,3,0,1
1,1024,1024,virtex7,xc7vx485tffg1158-1,138,21.914,0,0,0,1
10,1024,1024,virtex7,xc7vx485tffg1158-1,138,11.991,2,3,0,1
20,1024,1024,virtex7,xc7vx485tffg1158-1,137,11.991,2,7,0,1
30,1024,1024,virtex7,xc7vx485tffg1158-1,137,11.643,2,9,0,2
1,280,280,virtex7,xc7vx485tffg1158-2,147,1.691,0,0,0,0
1,320,320,virtex7,xc7vx485tffg1158-2,147,2.189,0,0,0,0
10,320,320,virtex7,xc7vx485tffg1158-2,143,1.222,2,3,0,1
1,512,512,virtex7,xc7vx485tffg1158-2,142,5.54,0,0,0,1
10,512,512,virtex7,xc7vx485tffg1158-2,143,3.062,2,3,0,1
1,1024,1024,virtex7,xc7vx485tffg1158-2,143,21.903,0,0,0,1
10,1024,1024,virtex7,xc7vx485tffg1158-2,143,11.981,2,3,0,1
20,1024,1024,virtex7,xc7vx485tffg1158-2,143,11.981,2,7,0,1
30,1024,1024,virtex7,xc7vx485tffg1158-2,143,11.633,2,10,0,2
1,280,280,virtex7,xc7vx485tffg1158-2L,147,1.691,0,0,0,0
1,320,320,virtex7,xc7vx485tffg1158-2L,147,2.189,0,0,0,0
10,320,320,virtex7,xc7vx485tffg1158-2L,143,1.222,2,3,0,1
1,512,512,virtex7,xc7vx485tffg1158-2L,142,5.54,0,0,0,1
10,512,512,virtex7,xc7vx485tffg1158-2L,143,3.062,2,3,0,1
1,1024,1024,virtex7,xc7vx485tffg1158-2L,143,21.903,0,0,0,1
10,1024,1024,virtex7,xc7vx485tffg1158-2L,143,11.981,2,3,0,1
20,1024,1024,virtex7,xc7vx485tffg1158-2L,143,11.981,2,7,0,1
30,1024,1024,virtex7,xc7vx485tffg1158-2L,143,11.633,2,10,0,2
1,280,280,virtex7,xc7vx485tffg1158-3,157,1.691,0,0,1,0
1,320,320,virtex7,xc7vx485tffg1158-3,157,2.189,0,0,1,0
10,320,320,virtex7,xc7vx485tffg1158-3,137,1.222,2,3,2,1
1,512,512,virtex7,xc7vx485tffg1158-3,138,5.535,0,0,1,1
10,512,512,virtex7,xc7vx485tffg1158-3,137,3.062,2,3,2,1
1,1024,1024,virtex7,xc7vx485tffg1158-3,138,21.893,0,0,1,1
10,1024,1024,virtex7,xc7vx485tffg1158-3,137,11.981,2,3,2,1
20,1024,1024,virtex7,xc7vx485tffg1158-3,137,11.981,2,7,2,1
30,1024,1024,virtex7,xc7vx485tffg1158-3,137,11.633,2,9,2,2
1,280,280,virtex7,xc7vx485tffg1761-1,141,1.694,0,0,0,0
1,320,320,virtex7,xc7vx485tffg1761-1,141,2.192,0,0,0,0
10,320,320,virtex7,xc7vx485tffg1761-1,137,1.226,2,3,0,1
1,512,512,virtex7,xc7vx485tffg1761-1,138,5.545,0,0,0,1
10,512,512,virtex7,xc7vx485tffg1761-1,138,3.067,2,3,0,1
1,1024,1024,virtex7,xc7vx485tffg1761-1,138,21.914,0,0,0,1
10,1024,1024,virtex7,xc7vx485tffg1761-1,138,11.991,2,3,0,1
20,1024,1024,virtex7,xc7vx485tffg1761-1,137,11.991,2,7,0,1
30,1024,1024,virtex7,xc7vx485tffg1761-1,137,11.643,2,9,0,2
1,280,280,virtex7,xc7vx485tffg1761-2,147,1.691,0,0,0,0
1,320,320,virtex7,xc7vx485tffg1761-2,147,2.189,0,0,0,0
10,320,320,virtex7,xc7vx485tffg1761-2,143,1.222,2,3,0,1
1,512,512,virtex7,xc7vx485tffg1761-2,142,5.54,0,0,0,1
10,512,512,virtex7,xc7vx485tffg1761-2,143,3.062,2,3,0,1
1,1024,1024,virtex7,xc7vx485tffg1761-2,143,21.903,0,0,0,1
10,1024,1024,virtex7,xc7vx485tffg1761-2,143,11.981,2,3,0,1
20,1024,1024,virtex7,xc7vx485tffg1761-2,143,11.981,2,7,0,1
30,1024,1024,virtex7,xc7vx485tffg1761-2,143,11.633,2,10,0,2
1,280,280,virtex7,xc7vx485tffg1761-2L,147,1.691,0,0,0,0
1,320,320,virtex7,xc7vx485tffg1761-2L,147,2.189,0,0,0,0
10,320,320,virtex7,xc7vx485tffg1761-2L,143,1.222,2,3,0,1
1,512,512,virtex7,xc7vx485tffg1761-2L,142,5.54,0,0,0,1
10,512,512,virtex7,xc7vx485tffg1761-2L,143,3.062,2,3,0,1
1,1024,1024,virtex7,xc7vx485tffg1761-2L,143,21.903,0,0,0,1
10,1024,1024,virtex7,xc7vx485tffg1761-2L,143,11.981,2,3,0,1
20,1024,1024,virtex7,xc7vx485tffg1761-2L,143,11.981,2,7,0,1
30,1024,1024,virtex7,xc7vx485tffg1761-2L,143,11.633,2,10,0,2
1,280,280,virtex7,xc7vx485tffg1761-3,157,1.691,0,0,1,0
1,320,320,virtex7,xc7vx485tffg1761-3,157,2.189,0,0,1,0
10,320,320,virtex7,xc7vx485tffg1761-3,137,1.222,2,3,2,1
1,512,512,virtex7,xc7vx485tffg1761-3,138,5.535,0,0,1,1
10,512,512,virtex7,xc7vx485tffg1761-3,137,3.062,2,3,2,1
1,1024,1024,virtex7,xc7vx485tffg1761-3,138,21.893,0,0,1,1
10,1024,1024,virtex7,xc7vx485tffg1761-3,137,11.981,2,3,2,1
20,1024,1024,virtex7,xc7vx485tffg1761-3,137,11.981,2,7,2,1
30,1024,1024,virtex7,xc7vx485tffg1761-3,137,11.633,2,9,2,2
1,280,280,virtex7,xc7vx485tffg1927-1,141,1.694,0,0,0,0
1,320,320,virtex7,xc7vx485tffg1927-1,141,2.192,0,0,0,0
10,320,320,virtex7,xc7vx485tffg1927-1,137,1.226,2,3,0,1
1,512,512,virtex7,xc7vx485tffg1927-1,138,5.545,0,0,0,1
10,512,512,virtex7,xc7vx485tffg1927-1,138,3.067,2,3,0,1
1,1024,1024,virtex7,xc7vx485tffg1927-1,138,21.914,0,0,0,1
10,1024,1024,virtex7,xc7vx485tffg1927-1,138,11.991,2,3,0,1
1,280,280,virtex7,xc7vx485tffg1157-1,141,1.694,0,0,0,0
1,320,320,virtex7,xc7vx485tffg1157-1,141,2.192,0,0,0,0
10,320,320,virtex7,xc7vx485tffg1157-1,137,1.226,2,3,0,1
1,512,512,virtex7,xc7vx485tffg1157-1,138,5.545,0,0,0,1
10,512,512,virtex7,xc7vx485tffg1157-1,138,3.067,2,3,0,1
1,1024,1024,virtex7,xc7vx485tffg1157-1,138,21.914,0,0,0,1
10,1024,1024,virtex7,xc7vx485tffg1157-1,138,11.991,2,3,0,1
20,1024,1024,virtex7,xc7vx485tffg1157-1,137,11.991,2,7,0,1
30,1024,1024,virtex7,xc7vx485tffg1157-1,137,11.643,2,9,0,2
1,280,280,virtex7,xc7vx485tffg1157-2,147,1.691,0,0,0,0
1,320,320,virtex7,xc7vx485tffg1157-2,147,2.189,0,0,0,0
10,320,320,virtex7,xc7vx485tffg1157-2,143,1.222,2,3,0,1
1,512,512,virtex7,xc7vx485tffg1157-2,142,5.54,0,0,0,1
10,512,512,virtex7,xc7vx485tffg1157-2,143,3.062,2,3,0,1
1,1024,1024,virtex7,xc7vx485tffg1157-2,143,21.903,0,0,0,1
10,1024,1024,virtex7,xc7vx485tffg1157-2,143,11.981,2,3,0,1
20,1024,1024,virtex7,xc7vx485tffg1157-2,143,11.981,2,7,0,1
30,1024,1024,virtex7,xc7vx485tffg1157-2,143,11.633,2,10,0,2
1,280,280,virtex7,xc7vx485tffg1157-2L,147,1.691,0,0,0,0
1,320,320,virtex7,xc7vx485tffg1157-2L,147,2.189,0,0,0,0
10,320,320,virtex7,xc7vx485tffg1157-2L,143,1.222,2,3,0,1
1,512,512,virtex7,xc7vx485tffg1157-2L,142,5.54,0,0,0,1
10,512,512,virtex7,xc7vx485tffg1157-2L,143,3.062,2,3,0,1
1,1024,1024,virtex7,xc7vx485tffg1157-2L,143,21.903,0,0,0,1
10,1024,1024,virtex7,xc7vx485tffg1157-2L,143,11.981,2,3,0,1
20,1024,1024,virtex7,xc7vx485tffg1157-2L,143,11.981,2,7,0,1
30,1024,1024,virtex7,xc7vx485tffg1157-2L,143,11.633,2,10,0,2
1,280,280,virtex7,xc7vx485tffg1157-3,157,1.691,0,0,1,0
1,320,320,virtex7,xc7vx485tffg1157-3,157,2.189,0,0,1,0
10,320,320,virtex7,xc7vx485tffg1157-3,137,1.222,2,3,2,1
1,512,512,virtex7,xc7vx485tffg1157-3,138,5.535,0,0,1,1
10,512,512,virtex7,xc7vx485tffg1157-3,137,3.062,2,3,2,1
1,1024,1024,virtex7,xc7vx485tffg1157-3,138,21.893,0,0,1,1
10,1024,1024,virtex7,xc7vx485tffg1157-3,137,11.981,2,3,2,1
1,280,280,virtex7,xc7vx485tffg1927-2,147,1.691,0,0,0,0
1,320,320,virtex7,xc7vx485tffg1927-2,147,2.189,0,0,0,0
10,320,320,virtex7,xc7vx485tffg1927-2,143,1.222,2,3,0,1
1,512,512,virtex7,xc7vx485tffg1927-2,142,5.54,0,0,0,1
10,512,512,virtex7,xc7vx485tffg1927-2,143,3.062,2,3,0,1
1,1024,1024,virtex7,xc7vx485tffg1927-2,143,21.903,0,0,0,1
10,1024,1024,virtex7,xc7vx485tffg1927-2,143,11.981,2,3,0,1
20,1024,1024,virtex7,xc7vx485tffg1927-2,143,11.981,2,7,0,1
30,1024,1024,virtex7,xc7vx485tffg1927-2,143,11.633,2,10,0,2
1,280,280,virtex7,xc7vx485tffg1927-2L,147,1.691,0,0,0,0
1,320,320,virtex7,xc7vx485tffg1927-2L,147,2.189,0,0,0,0
10,320,320,virtex7,xc7vx485tffg1927-2L,143,1.222,2,3,0,1
1,512,512,virtex7,xc7vx485tffg1927-2L,142,5.54,0,0,0,1
10,512,512,virtex7,xc7vx485tffg1927-2L,143,3.062,2,3,0,1
1,1024,1024,virtex7,xc7vx485tffg1927-2L,143,21.903,0,0,0,1
10,1024,1024,virtex7,xc7vx485tffg1927-2L,143,11.981,2,3,0,1
20,1024,1024,virtex7,xc7vx485tffg1927-2L,143,11.981,2,7,0,1
30,1024,1024,virtex7,xc7vx485tffg1927-2L,143,11.633,2,10,0,2
1,280,280,virtex7,xc7vx485tffg1927-3,157,1.691,0,0,1,0
1,320,320,virtex7,xc7vx485tffg1927-3,157,2.189,0,0,1,0
10,320,320,virtex7,xc7vx485tffg1927-3,137,1.222,2,3,2,1
1,512,512,virtex7,xc7vx485tffg1927-3,138,5.535,0,0,1,1
10,512,512,virtex7,xc7vx485tffg1927-3,137,3.062,2,3,2,1
1,1024,1024,virtex7,xc7vx485tffg1927-3,138,21.893,0,0,1,1
10,1024,1024,virtex7,xc7vx485tffg1927-3,137,11.981,2,3,2,1
20,1024,1024,virtex7,xc7vx485tffg1927-3,137,11.981,2,7,2,1
30,1024,1024,virtex7,xc7vx485tffg1927-3,137,11.633,2,9,2,2
1,280,280,virtex7,xc7vx485tffg1930-1,141,1.694,0,0,0,0
1,320,320,virtex7,xc7vx485tffg1930-1,141,2.192,0,0,0,0
10,320,320,virtex7,xc7vx485tffg1930-1,137,1.226,2,3,0,1
1,512,512,virtex7,xc7vx485tffg1930-1,138,5.545,0,0,0,1
10,512,512,virtex7,xc7vx485tffg1930-1,138,3.067,2,3,0,1
1,1024,1024,virtex7,xc7vx485tffg1930-1,138,21.914,0,0,0,1
10,1024,1024,virtex7,xc7vx485tffg1930-1,138,11.991,2,3,0,1
20,1024,1024,virtex7,xc7vx485tffg1930-1,137,11.991,2,7,0,1
30,1024,1024,virtex7,xc7vx485tffg1930-1,137,11.643,2,9,0,2
1,280,280,virtex7,xc7vx485tffg1930-2,147,1.691,0,0,0,0
1,320,320,virtex7,xc7vx485tffg1930-2,147,2.189,0,0,0,0
10,320,320,virtex7,xc7vx485tffg1930-2,143,1.222,2,3,0,1
1,512,512,virtex7,xc7vx485tffg1930-2,142,5.54,0,0,0,1
10,512,512,virtex7,xc7vx485tffg1930-2,143,3.062,2,3,0,1
1,1024,1024,virtex7,xc7vx485tffg1930-2,143,21.903,0,0,0,1
10,1024,1024,virtex7,xc7vx485tffg1930-2,143,11.981,2,3,0,1
20,1024,1024,virtex7,xc7vx485tffg1930-2,143,11.981,2,7,0,1
30,1024,1024,virtex7,xc7vx485tffg1930-2,143,11.633,2,10,0,2
1,280,280,virtex7,xc7vx485tffg1930-2L,147,1.691,0,0,0,0
1,320,320,virtex7,xc7vx485tffg1930-2L,147,2.189,0,0,0,0
10,320,320,virtex7,xc7vx485tffg1930-2L,143,1.222,2,3,0,1
1,512,512,virtex7,xc7vx485tffg1930-2L,142,5.54,0,0,0,1
10,512,512,virtex7,xc7vx485tffg1930-2L,143,3.062,2,3,0,1
1,1024,1024,virtex7,xc7vx485tffg1930-2L,143,21.903,0,0,0,1
10,1024,1024,virtex7,xc7vx485tffg1930-2L,143,11.981,2,3,0,1
20,1024,1024,virtex7,xc7vx485tffg1930-2L,143,11.981,2,7,0,1
30,1024,1024,virtex7,xc7vx485tffg1930-2L,143,11.633,2,10,0,2
1,280,280,virtex7,xc7vx485tffg1930-3,157,1.691,0,0,1,0
1,320,320,virtex7,xc7vx485tffg1930-3,157,2.189,0,0,1,0
10,320,320,virtex7,xc7vx485tffg1930-3,137,1.222,2,3,2,1
1,512,512,virtex7,xc7vx485tffg1930-3,138,5.535,0,0,1,1
10,512,512,virtex7,xc7vx485tffg1930-3,137,3.062,2,3,2,1
1,1024,1024,virtex7,xc7vx485tffg1930-3,138,21.893,0,0,1,1
10,1024,1024,virtex7,xc7vx485tffg1930-3,137,11.981,2,3,2,1
20,1024,1024,virtex7,xc7vx485tffg1930-3,137,11.981,2,7,2,1
30,1024,1024,virtex7,xc7vx485tffg1930-3,137,11.633,2,9,2,2
1,280,280,virtex7,xc7vx330tffg1157-1,141,1.694,0,1,0,1
1,320,320,virtex7,xc7vx330tffg1157-1,141,2.192,0,1,0,1
10,320,320,virtex7,xc7vx330tffg1157-1,137,1.226,5,5,0,2
1,512,512,virtex7,xc7vx330tffg1157-1,138,5.545,0,0,0,1
10,512,512,virtex7,xc7vx330tffg1157-1,138,3.067,5,5,0,2
1,1024,1024,virtex7,xc7vx330tffg1157-1,138,21.914,0,1,0,1
10,1024,1024,virtex7,xc7vx330tffg1157-1,138,11.991,5,5,0,2
20,1024,1024,virtex7,xc7vx330tffg1157-1,137,11.991,5,11,0,2
30,1024,1024,virtex7,xc7vx330tffg1157-1,137,11.643,5,14,0,3
1,280,280,virtex7,xc7vx330tffg1157-2,147,1.691,0,1,0,1
